2024-01-10 11:37:56,299 INFO    StreamThr :1365088 [internal.py:wandb_internal():86] W&B internal server running at pid: 1365088, started at: 2024-01-10 11:37:56.298549
2024-01-10 11:37:56,310 DEBUG   HandlerThread:1365088 [handler.py:handle_request():146] handle_request: status
2024-01-10 11:37:56,332 INFO    WriterThread:1365088 [datastore.py:open_for_write():87] open: /home/nlpbiodiv2023/CS198Repository/Finetuning/wandb/run-20240110_113756-5vbcl70m/run-5vbcl70m.wandb
2024-01-10 11:37:56,335 DEBUG   SenderThread:1365088 [sender.py:send():382] send: header
2024-01-10 11:37:56,342 DEBUG   SenderThread:1365088 [sender.py:send():382] send: run
2024-01-10 11:37:57,314 INFO    SenderThread:1365088 [dir_watcher.py:__init__():211] watching files in: /home/nlpbiodiv2023/CS198Repository/Finetuning/wandb/run-20240110_113756-5vbcl70m/files
2024-01-10 11:37:57,314 INFO    SenderThread:1365088 [sender.py:_start_run_threads():1136] run started: 5vbcl70m with start time 1704857876.303176
2024-01-10 11:37:57,607 DEBUG   HandlerThread:1365088 [handler.py:handle_request():146] handle_request: check_version
2024-01-10 11:37:57,608 DEBUG   SenderThread:1365088 [sender.py:send_request():409] send_request: check_version
2024-01-10 11:37:57,810 DEBUG   HandlerThread:1365088 [handler.py:handle_request():146] handle_request: run_start
2024-01-10 11:37:57,820 DEBUG   HandlerThread:1365088 [system_info.py:__init__():27] System info init
2024-01-10 11:37:57,822 DEBUG   HandlerThread:1365088 [system_info.py:__init__():42] System info init done
2024-01-10 11:37:57,822 INFO    HandlerThread:1365088 [system_monitor.py:start():194] Starting system monitor
2024-01-10 11:37:57,823 INFO    SystemMonitor:1365088 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-10 11:37:57,830 INFO    SystemMonitor:1365088 [interfaces.py:start():190] Started cpu monitoring
2024-01-10 11:37:57,830 INFO    HandlerThread:1365088 [system_monitor.py:probe():214] Collecting system info
2024-01-10 11:37:57,832 INFO    SystemMonitor:1365088 [interfaces.py:start():190] Started disk monitoring
2024-01-10 11:37:57,850 INFO    SystemMonitor:1365088 [interfaces.py:start():190] Started gpu monitoring
2024-01-10 11:37:57,856 INFO    SystemMonitor:1365088 [interfaces.py:start():190] Started memory monitoring
2024-01-10 11:37:57,862 INFO    SystemMonitor:1365088 [interfaces.py:start():190] Started network monitoring
2024-01-10 11:37:57,867 DEBUG   HandlerThread:1365088 [system_info.py:probe():151] Probing system
2024-01-10 11:37:57,883 DEBUG   HandlerThread:1365088 [system_info.py:_probe_git():136] Probing git
2024-01-10 11:37:57,900 DEBUG   HandlerThread:1365088 [system_info.py:_probe_git():144] Probing git done
2024-01-10 11:37:57,900 DEBUG   HandlerThread:1365088 [system_info.py:probe():199] Probing system done
