0,( species : species ) The @QUALITY$ are based on the `` Flora of @LOCATION$ China identified by Teng Fang and verified by Helge Bruelheide ( trees ) and Alexandra Erfmeier ( herbs ) .
1,"Almost half of the threatened species assessed were considered vulnerable to the impacts of @PHENOMENA$ : @ORGANISM$ being the most vulnerable group , followed by plants , reptiles , mammals and birds ."
0,"In 18 grazed and 21 improved fallows , we estimated @QUALITY$ and quantified soil organic carbon , soil base cations , sand content , and @QUALITY$ ."
0,"BEF research plot where the abundance of @ORGANISM$ x is estimated @QUALITY$ ( CSP05 ) , CSP05 Number of individuals determined for the respective category ."
0,"Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable @ENVIRONMENT$ , Average precipitation in depth , Bird species , @PHENOMENA$ , CO2 emissions from electricity and heat production , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Disaster risk reduction progress score , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , HFC gas emissions , Land area , Land area where elevation is below 5 meters , Mammal species , Marine protected areas , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other greenhouse gas emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , People with basic handwashing facilities including soap and water , Plant species , Population living in areas where elevation is below 5 meters , Population living in slums , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry Source : Last updated at : ######## License - Creative Commons Attribution International CC-BY environment_indicators_for_india_1 country_name Country Name string # string country_name country_iso3 Country ISO3 string # string country_iso3 year Year gyear # gYear year indicator_name Indicator Name string # string indicator_name indicator_code Indicator Code string # string indicator_code value Value number # decimal value data/environment_indicators_for_india_1.csv csv original/environment-indicators-for-india-1.csv original/environment-indicators-for-india-1.csv csv text/csv 375066 environment hxl indicators india"
0,"We demonstrate that I. noli- tangere and I. textori share the same pollination niche ( i.e. , flowering @PHENOMENA$ , pollinator fauna , and position of pollen on the @ORGANISM$ s body ) ."
0,"Although its marine biota can be considered relatively well known , at least within the Asian-Pacific region , considering the vast number of different marine environments such as @ORGANISM$ , @ENVIRONMENT$ trenches , ice-bound waters , methane seeps , and hydrothermal vents , much work remains to be done ."
0,"We draw on a spatially-replicated dataset on Atlantic forest small @ORGANISM$ , consisting of 16 sampling sites divided between forests and matrix @ENVIRONMENT$ in each of five 3600-ha landscapes ( varying from 5 % to 45 % forest cover ) , and on an a priori classification of species into habitat requirement categories ( forest specialists , habitat generalists and open-area specialists ) ."
0,"Ways to quantify @PHENOMENA$ : rainfall amount open @ENVIRONMENT$ ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge average of the five highest five minute intensities open field ( vaisala ) -- average of the five highest five minute intensities ( vaisala ) -- measured by the vaisala sensor Precipitation ( am_t ) , millimeter am_t Precipitation measured at the climate station or locally within sites ."
0,"In the light of the @QUALITY$ , it is of major importance not only to conserve , but also to restore @ENVIRONMENT$ ecosystems ."
